date,hour,direction,count
2026-03-02,0,northbound,54
2026-03-02,1,northbound,23
2026-03-02,2,northbound,24
2026-03-02,3,northbound,29
2026-03-02,4,northbound,78
2026-03-02,5,northbound,293
2026-03-02,6,northbound,898
2026-03-02,7,northbound,1541
2026-03-02,8,northbound,1703
2026-03-02,9,northbound,1281
2026-03-02,10,northbound,809
2026-03-02,11,northbound,745
2026-03-02,12,northbound,874
2026-03-02,13,northbound,793
2026-03-02,14,northbound,801
2026-03-02,15,northbound,1007
2026-03-02,16,northbound,1067
2026-03-02,17,northbound,1176
2026-03-02,18,northbound,920
2026-03-02,19,northbound,675
2026-03-02,20,northbound,497
2026-03-02,21,northbound,355
2026-03-02,22,northbound,232
2026-03-02,23,northbound,107
2026-03-02,0,southbound,66
2026-03-02,1,southbound,28
2026-03-02,2,southbound,28
2026-03-02,3,southbound,35
2026-03-02,4,southbound,51
2026-03-02,5,southbound,222
2026-03-02,6,southbound,572
2026-03-02,7,southbound,919
2026-03-02,8,southbound,1103
2026-03-02,9,southbound,753
2026-03-02,10,southbound,748
2026-03-02,11,southbound,614
2026-03-02,12,southbound,716
2026-03-02,13,southbound,717
2026-03-02,14,southbound,738
2026-03-02,15,southbound,883
2026-03-02,16,southbound,1439
2026-03-02,17,southbound,1571
2026-03-02,18,southbound,1167
2026-03-02,19,southbound,610
2026-03-02,20,southbound,443
2026-03-02,21,southbound,328
2026-03-02,22,southbound,211
2026-03-02,23,southbound,116
2026-03-03,0,northbound,51
2026-03-03,1,northbound,25
2026-03-03,2,northbound,27
2026-03-03,3,northbound,31
2026-03-03,4,northbound,73
2026-03-03,5,northbound,277
2026-03-03,6,northbound,839
2026-03-03,7,northbound,1515
2026-03-03,8,northbound,1855
2026-03-03,9,northbound,1250
2026-03-03,10,northbound,819
2026-03-03,11,northbound,749
2026-03-03,12,northbound,817
2026-03-03,13,northbound,821
2026-03-03,14,northbound,837
2026-03-03,15,northbound,1024
2026-03-03,16,northbound,1109
2026-03-03,17,northbound,1146
2026-03-03,18,northbound,877
2026-03-03,19,northbound,768
2026-03-03,20,northbound,481
2026-03-03,21,northbound,375
2026-03-03,22,northbound,217
2026-03-03,23,northbound,118
2026-03-03,0,southbound,43
2026-03-03,1,southbound,32
2026-03-03,2,southbound,18
2026-03-03,3,southbound,29
2026-03-03,4,southbound,66
2026-03-03,5,southbound,238
2026-03-03,6,southbound,510
2026-03-03,7,southbound,914
2026-03-03,8,southbound,1033
2026-03-03,9,southbound,749
2026-03-03,10,southbound,706
2026-03-03,11,southbound,639
2026-03-03,12,southbound,766
2026-03-03,13,southbound,685
2026-03-03,14,southbound,794
2026-03-03,15,southbound,901
2026-03-03,16,southbound,1442
2026-03-03,17,southbound,1521
2026-03-03,18,southbound,1229
2026-03-03,19,southbound,596
2026-03-03,20,southbound,424
2026-03-03,21,southbound,321
2026-03-03,22,southbound,224
2026-03-03,23,southbound,90
