date,hour,direction,count
2026-03-02,0,northbound,52
2026-03-02,1,northbound,22
2026-03-02,2,northbound,42
2026-03-02,3,northbound,27
2026-03-02,4,northbound,72
2026-03-02,5,northbound,252
2026-03-02,6,northbound,856
2026-03-02,7,northbound,1552
2026-03-02,8,northbound,1795
2026-03-02,9,northbound,1247
2026-03-02,10,northbound,703
2026-03-02,11,northbound,759
2026-03-02,12,northbound,801
2026-03-02,13,northbound,809
2026-03-02,14,northbound,835
2026-03-02,15,northbound,1034
2026-03-02,16,northbound,1127
2026-03-02,17,northbound,1154
2026-03-02,18,northbound,914
2026-03-02,19,northbound,636
2026-03-02,20,northbound,450
2026-03-02,21,northbound,400
2026-03-02,22,northbound,249
2026-03-02,23,northbound,119
2026-03-02,0,southbound,66
2026-03-02,1,southbound,26
2026-03-02,2,southbound,25
2026-03-02,3,southbound,31
2026-03-02,4,southbound,55
2026-03-02,5,southbound,243
2026-03-02,6,southbound,518
2026-03-02,7,southbound,965
2026-03-02,8,southbound,1131
2026-03-02,9,southbound,769
2026-03-02,10,southbound,686
2026-03-02,11,southbound,679
2026-03-02,12,southbound,715
2026-03-02,13,southbound,758
2026-03-02,14,southbound,770
2026-03-02,15,southbound,944
2026-03-02,16,southbound,1422
2026-03-02,17,southbound,1541
2026-03-02,18,southbound,1227
2026-03-02,19,southbound,606
2026-03-02,20,southbound,443
2026-03-02,21,southbound,302
2026-03-02,22,southbound,229
2026-03-02,23,southbound,96
2026-03-03,0,northbound,47
2026-03-03,1,northbound,21
2026-03-03,2,northbound,24
2026-03-03,3,northbound,27
2026-03-03,4,northbound,67
2026-03-03,5,northbound,268
2026-03-03,6,northbound,783
2026-03-03,7,northbound,1532
2026-03-03,8,northbound,1753
2026-03-03,9,northbound,1210
2026-03-03,10,northbound,800
2026-03-03,11,northbound,802
2026-03-03,12,northbound,842
2026-03-03,13,northbound,781
2026-03-03,14,northbound,869
2026-03-03,15,northbound,1015
2026-03-03,16,northbound,1076
2026-03-03,17,northbound,1215
2026-03-03,18,northbound,893
2026-03-03,19,northbound,658
2026-03-03,20,northbound,462
2026-03-03,21,northbound,337
2026-03-03,22,northbound,225
2026-03-03,23,northbound,118
2026-03-03,0,southbound,61
2026-03-03,1,southbound,27
2026-03-03,2,southbound,19
2026-03-03,3,southbound,25
2026-03-03,4,southbound,76
2026-03-03,5,southbound,216
2026-03-03,6,southbound,586
2026-03-03,7,southbound,913
2026-03-03,8,southbound,1107
2026-03-03,9,southbound,780
2026-03-03,10,southbound,736
2026-03-03,11,southbound,636
2026-03-03,12,southbound,763
2026-03-03,13,southbound,692
2026-03-03,14,southbound,754
2026-03-03,15,southbound,911
2026-03-03,16,southbound,1470
2026-03-03,17,southbound,1549
2026-03-03,18,southbound,1240
2026-03-03,19,southbound,592
2026-03-03,20,southbound,440
2026-03-03,21,southbound,332
2026-03-03,22,southbound,206
2026-03-03,23,southbound,94
2026-03-04,0,northbound,56
2026-03-04,1,northbound,22
2026-03-04,2,northbound,23
2026-03-04,3,northbound,34
2026-03-04,4,northbound,81
2026-03-04,5,northbound,265
2026-03-04,6,northbound,898
2026-03-04,7,northbound,1461
2026-03-04,8,northbound,1797
2026-03-04,9,northbound,1304
2026-03-04,10,northbound,795
2026-03-04,11,northbound,724
2026-03-04,12,northbound,804
2026-03-04,13,northbound,789
2026-03-04,14,northbound,882
2026-03-04,15,northbound,1006
2026-03-04,16,northbound,1114
2026-03-04,17,northbound,1226
2026-03-04,18,northbound,970
2026-03-04,19,northbound,687
2026-03-04,20,northbound,508
2026-03-04,21,northbound,363
2026-03-04,22,northbound,205
2026-03-04,23,northbound,116
2026-03-04,0,southbound,53
2026-03-04,1,southbound,20
2026-03-04,2,southbound,28
2026-03-04,3,southbound,28
2026-03-04,4,southbound,63
2026-03-04,5,southbound,234
2026-03-04,6,southbound,491
2026-03-04,7,southbound,914
2026-03-04,8,southbound,1091
2026-03-04,9,southbound,701
2026-03-04,10,southbound,713
2026-03-04,11,southbound,644
2026-03-04,12,southbound,721
2026-03-04,13,southbound,689
2026-03-04,14,southbound,747
2026-03-04,15,southbound,929
2026-03-04,16,southbound,1464
2026-03-04,17,southbound,1501
2026-03-04,18,southbound,1260
2026-03-04,19,southbound,647
2026-03-04,20,southbound,459
2026-03-04,21,southbound,363
2026-03-04,22,southbound,210
2026-03-04,23,southbound,108
2026-03-05,0,northbound,51
2026-03-05,1,northbound,31
2026-03-05,2,northbound,29
2026-03-05,3,northbound,41
2026-03-05,4,northbound,70
2026-03-05,5,northbound,259
2026-03-05,6,northbound,851
2026-03-05,7,northbound,1536
2026-03-05,8,northbound,1809
2026-03-05,9,northbound,1240
2026-03-05,10,northbound,755
2026-03-05,11,northbound,768
2026-03-05,12,northbound,819
2026-03-05,13,northbound,849
2026-03-05,14,northbound,845
2026-03-05,15,northbound,978
2026-03-05,16,northbound,1124
2026-03-05,17,northbound,1174
2026-03-05,18,northbound,927
2026-03-05,19,northbound,639
2026-03-05,20,northbound,462
2026-03-05,21,northbound,364
2026-03-05,22,northbound,229
2026-03-05,23,northbound,113
2026-03-05,0,southbound,28
2026-03-05,1,southbound,27
2026-03-05,2,southbound,31
2026-03-05,3,southbound,27
2026-03-05,4,southbound,71
