atco_area_code,area_name
639,Aberdeen
630,Aberdeenshire
649,Angus
607,Argyll & Bute
018,Bath & North East Somerset
020,Bedford
258,Blackburn with Darwen
259,Blackpool
532,Blaenau Gwent
129,Bournemouth
038,Bracknell Forest
551,Bridgend
149,Brighton and Hove
010,Bristol
040,Buckinghamshire
554,Caerphilly
050,Cambridgeshire
571,Cardiff
522,Carmarthenshire
021,Central Bedfordshire
523,Ceredigion
060,Cheshire East
061,Cheshire West & Chester
668,Clackmannanshire
513,Conwy
080,Cornwall
090,Cumbria
076,Darlington
511,Denbighshire
109,Derby
100,Derbyshire
110,Devon
120,Dorset
680,Dumfries & Galloway
640,Dundee
130,Durham
618,East Ayrshire
611,East Dunbartonshire
627,East Lothian
612,East Renfrewshire
220,East Riding of Yorkshire
140,East Sussex
620,Edinburgh
150,Essex
669,Falkirk
650,Fife
512,Flintshire
609,Glasgow
160,Gloucestershire
490,Greater London
180,Greater Manchester
540,Gwynedd
068,Halton
190,Hampshire
075,Hartlepool
209,Herefordshire
210,Hertfordshire
670,Highland
613,Inverclyde
541,Isle of Anglesey
230,Isle of Wight
240,Kent
229,Kingston upon Hull
250,Lancashire
269,Leicester
260,Leicestershire
270,Lincolnshire
029,Luton
249,Medway
280,Merseyside
553,Merthyr Tydfil
079,Middlesbrough
628,Midlothian
049,Milton Keynes
533,Monmouthshire
638,Moray
945,National - Automated People Mover
920,National - National Air
900,National - National Coach
930,National - National Ferry
910,National - National Rail
940,National - National Tram
582,Neath Port Talbot
531,Newport
290,Norfolk
617,North Ayrshire
228,North East Lincolnshire
616,North Lanarkshire
227,North Lincolnshire
305,North Northamptonshire
019,North Somerset
320,North Yorkshire
310,Northumberland
339,Nottingham
330,Nottinghamshire
602,Orkney Islands
340,Oxfordshire
521,Pembrokeshire
648,Perth & Kinross
059,Peterborough
118,Plymouth
128,Poole
199,Portsmouth
561,Powys
039,Reading
078,Redcar & Cleveland
614,Renfrewshire
552,Rhondda Cynon Taff
268,Rutland
690,Scottish Borders
603,Shetland Islands
350,Shropshire
037,Slough
360,Somerset
619,South Ayrshire
017,South Gloucestershire
615,South Lanarkshire
370,South Yorkshire
198,Southampton
158,Southend-on-Sea
380,Staffordshire
660,Stirling
077,Stockton-on-Tees
389,Stoke-on-Trent
390,Suffolk
400,Surrey
581,Swansea
468,Swindon
359,Telford & Wrekin
159,Thurrock
119,Torbay
534,Torfaen
410,Tyne & Wear
572,Vale of Glamorgan
069,Warrington
420,Warwickshire
030,West Berkshire
608,West Dunbartonshire
629,West Lothian
430,West Midlands
300,West Northamptonshire
440,West Sussex
450,West Yorkshire
601,Western Isles
460,Wiltshire
036,Windsor & Maidenhead
035,Wokingham
200,Worcestershire
514,Wrexham
329,York
