GEOGRAPHY_CODE,GEOGRAPHY_NAME,C2021_CARS_5_NAME,OBS_VALUE
E01011698,Leeds 001A,Total: All households,632
E01011698,Leeds 001A,No cars or vans in household,91
E01011698,Leeds 001A,1 car or van in household,258
E01011698,Leeds 001A,2 cars or vans in household,234
E01011698,Leeds 001A,3 or more cars or vans in household,49
E01011699,Leeds 001B,Total: All households,577
E01011699,Leeds 001B,No cars or vans in household,40
E01011699,Leeds 001B,1 car or van in household,259
E01011699,Leeds 001B,2 cars or vans in household,219
E01011699,Leeds 001B,3 or more cars or vans in household,59
E01011701,Leeds 001C,Total: All households,596
E01011701,Leeds 001C,No cars or vans in household,63
E01011701,Leeds 001C,1 car or van in household,239
E01011701,Leeds 001C,2 cars or vans in household,250
E01011701,Leeds 001C,3 or more cars or vans in household,44
E01011702,Leeds 001D,Total: All households,664
E01011702,Leeds 001D,No cars or vans in household,52
E01011702,Leeds 001D,1 car or van in household,191
E01011702,Leeds 001D,2 cars or vans in household,313
E01011702,Leeds 001D,3 or more cars or vans in household,108
E01011703,Leeds 001E,Total: All households,564
E01011703,Leeds 001E,No cars or vans in household,34
E01011703,Leeds 001E,1 car or van in household,229
E01011703,Leeds 001E,2 cars or vans in household,237
E01011703,Leeds 001E,3 or more cars or vans in household,64
E01011697,Leeds 002A,Total: All households,687
E01011697,Leeds 002A,No cars or vans in household,78
E01011697,Leeds 002A,1 car or van in household,269
E01011697,Leeds 002A,2 cars or vans in household,254
E01011697,Leeds 002A,3 or more cars or vans in household,86
E01011700,Leeds 002B,Total: All households,600
E01011700,Leeds 002B,No cars or vans in household,103
E01011700,Leeds 002B,1 car or van in household,243
E01011700,Leeds 002B,2 cars or vans in household,193
E01011700,Leeds 002B,3 or more cars or vans in household,61
E01011704,Leeds 002C,Total: All households,1145
E01011704,Leeds 002C,No cars or vans in household,297
E01011704,Leeds 002C,1 car or van in household,540
E01011704,Leeds 002C,2 cars or vans in household,256
E01011704,Leeds 002C,3 or more cars or vans in household,52
E01011705,Leeds 002D,Total: All households,642
E01011705,Leeds 002D,No cars or vans in household,158
E01011705,Leeds 002D,1 car or van in household,290
E01011705,Leeds 002D,2 cars or vans in household,167
E01011705,Leeds 002D,3 or more cars or vans in household,27
E01011581,Leeds 003A,Total: All households,731
E01011581,Leeds 003A,No cars or vans in household,83
E01011581,Leeds 003A,1 car or van in household,337
E01011581,Leeds 003A,2 cars or vans in household,243
E01011581,Leeds 003A,3 or more cars or vans in household,68
E01011582,Leeds 003B,Total: All households,743
E01011582,Leeds 003B,No cars or vans in household,242
E01011582,Leeds 003B,1 car or van in household,290
E01011582,Leeds 003B,2 cars or vans in household,167
E01011582,Leeds 003B,3 or more cars or vans in household,44
E01011583,Leeds 003C,Total: All households,647
E01011583,Leeds 003C,No cars or vans in household,64
E01011583,Leeds 003C,1 car or van in household,283
E01011583,Leeds 003C,2 cars or vans in household,233
E01011583,Leeds 003C,3 or more cars or vans in household,67
E01011584,Leeds 003D,Total: All households,759
E01011584,Leeds 003D,No cars or vans in household,97
