LSOA code (2011),LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs)
E01011264,Leeds 011A,E08000035,Leeds,20.525,13915,5
E01011265,Leeds 009A,E08000035,Leeds,13.602,20368,7
E01011266,Leeds 008A,E08000035,Leeds,5.808,29666,10
E01011267,Leeds 009B,E08000035,Leeds,27.863,9111,3
E01011268,Leeds 010A,E08000035,Leeds,34.444,6082,2
E01011269,Leeds 011B,E08000035,Leeds,20.713,13768,5
E01011270,Leeds 008B,E08000035,Leeds,3.658,31787,10
E01011271,Leeds 009C,E08000035,Leeds,6.327,29068,9
E01011272,Leeds 009D,E08000035,Leeds,6.216,29185,9
E01011273,Leeds 010B,E08000035,Leeds,14.569,19375,6
E01011274,Leeds 010C,E08000035,Leeds,35.522,5701,2
E01011275,Leeds 010D,E08000035,Leeds,20.43,13990,5
E01011276,Leeds 011C,E08000035,Leeds,14.17,19771,7
E01011277,Leeds 014A,E08000035,Leeds,11.756,22454,7
E01011278,Leeds 014B,E08000035,Leeds,8.544,26367,9
E01011279,Leeds 008C,E08000035,Leeds,8.896,25928,8
E01011280,Leeds 008D,E08000035,Leeds,5.428,30090,10
E01011281,Leeds 059A,E08000035,Leeds,35.407,5748,2
E01011282,Leeds 059B,E08000035,Leeds,45.472,2977,1
E01011283,Leeds 059C,E08000035,Leeds,60.875,845,1
E01011284,Leeds 071A,E08000035,Leeds,47.28,2609,1
E01011286,Leeds 059D,E08000035,Leeds,27.153,9502,3
E01011287,Leeds 067B,E08000035,Leeds,25.137,10679,4
E01011292,Leeds 071B,E08000035,Leeds,63.407,632,1
E01011293,Leeds 071C,E08000035,Leeds,52.665,1773,1
E01011294,Leeds 071D,E08000035,Leeds,71.263,222,1
E01011295,Leeds 059E,E08000035,Leeds,40.705,4054,2
E01011296,Leeds 030A,E08000035,Leeds,7.48,27712,9
E01011297,Leeds 030B,E08000035,Leeds,9.631,24969,8
E01011298,Leeds 088A,E08000035,Leeds,33.281,6551,2
E01011299,Leeds 088B,E08000035,Leeds,13.518,20474,7
E01011300,Leeds 089A,E08000035,Leeds,19.494,14822,5
