ATCOCode,CommonName,LocalityName,StopType,Longitude,Latitude
450010001,Helston Road,Middleton,BCT,-1.561961704797171,53.75187778668515
450010005,Bodmin Road,Middleton,BCT,-1.559260131869481,53.75208360442012
450010006,Bodmin Road,Middleton,BCT,-1.560037249551253,53.75318300603728
450010021,Broom Place,Belle Isle,BCT,-1.519169324501888,53.75550685279175
450010022,Lea Park Drive,Belle Isle,BCT,-1.518950357235902,53.76007193496815
450010023,Middlecroft Close,Belle Isle,BCT,-1.517756006421877,53.76237708226768
450010024,Middlecroft Close,Belle Isle,BCT,-1.518038651448271,53.762863575879514
450010025,Hunslet Cemetery,Hunslet Carr,BCT,-1.524339973594401,53.76769736107169
450010026,Woodhouse Hill Road,Hunslet Carr,BCT,-1.523814042706307,53.769933309432936
450010027,Leasowe Road,Hunslet Carr,BCT,-1.522288747453059,53.771985517549965
450010028,Playfair Road,Hunslet Carr,BCT,-1.530495969193225,53.77344702434696
450010029,Moor Road,Hunslet Carr,BCT,-1.530865066817878,53.771641863438056
450010030,Moor Road,Hunslet Carr,BCT,-1.53104222221292,53.77208297225233
450010031,Belle Isle Circus,Belle Isle,BCT,-1.52864356291269,53.76543137276963
450010032,Middleton Road,Belle Isle,BCT,-1.526574570445382,53.75785524317805
450010033,Lanshaw View,Middleton,BCT,-1.530119979682269,53.752754949992685
450010034,Lanshaw View,Middleton,BCT,-1.530347453977077,53.75275584094642
450010036,Dunlin Drive,Middleton,BCT,-1.531397165537433,53.75109714559001
450010037,Newhall Gate,Belle Isle,BCT,-1.532118037088618,53.75719389915729
450010038,Elmton Close,Belle Isle,BCT,-1.532316994528748,53.75976527293967
450010039,Belle Isle Circus,Belle Isle,BCT,-1.529140538980859,53.76575689599207
450010040,West Grange Drive,Hunslet Carr,BCT,-1.530603959960592,53.76920507044813
450010041,Ring Rd Middleton,Belle Isle,BCT,-1.526326317934964,53.75295574240092
450010042,Middleton Road,Belle Isle,BCT,-1.526794074471654,53.75721795370237
450010043,Petersfield Avenue,Belle Isle,BCT,-1.527267875355254,53.7609498857658
450010045,North Lingwell Road,Middleton,BCT,-1.542449068804816,53.75140946017124
450010051,Waincliffe Drive,Beeston,BCT,-1.56498442046693,53.76315985723136
450010052,Tommy Wass Junction,Beeston,BCT,-1.561357028803279,53.76480045570816
450010053,Barkly Road,Beeston,BCT,-1.556085884675503,53.76692022953795
450010054,Cross Flatts Grove,Beeston,BCT,-1.55332493606123,53.76833908611259
450010055,Cross Flatts Park,Beeston,BCT,-1.549974906104475,53.77091513301635
450010056,Hunslet Fire Stn,Beeston,BCT,-1.547939431303859,53.77255229850336
450010057,Oakley Terrace,Beeston,BCT,-1.54611476229189,53.77432504812795
450010058,Dewsbury Road Hub,Beeston Hill,BCT,-1.544882214859676,53.7788593552548
450010059,Hunslet Hall Road,Beeston Hill,BCT,-1.544267633304252,53.78236236831383
450010062,Parkfield Street,Crown Point,BCT,-1.542571445663325,53.7848276308097
450010065,Hunslet Hall Road,Beeston Hill,BCT,-1.544486999792568,53.78032291049013
450010066,Oakley Terrace,Beeston,BCT,-1.545949509941589,53.77417162552612
450010067,Cross Flatts Park,Beeston,BCT,-1.550865593930904,53.76991180601644
450010068,Cross Flatts Grove,Beeston,BCT,-1.554517753388453,53.76744471336436
450010069,Tommy Wass Junction,Beeston,BCT,-1.561719393788658,53.763507495948886
450010070,Waincliffe Drive,Beeston,BCT,-1.563813260014931,53.763461199328944
450010072,Tommy Wass PH,Beeston,BCT,-1.562891373194075,53.764590342338686
450010073,Cardinal Road,Beeston,BCT,-1.566792014024424,53.76587181149736
450010074,Beeston ASDA,Beeston,BCT,-1.564088825484561,53.76761469489252
450010075,Moorhouse Avenue,Beeston,BCT,-1.564541632912345,53.76930609795627
450010076,Co-op,Beeston,BCT,-1.565295076953056,53.77274227448056
450010077,Co-op,Beeston,BCT,-1.565052135581102,53.772759370098974
450010078,Beeston Terminus,Beeston,BCT,-1.571719060276651,53.772163178510745
450010079,Beeston Co-Op,Beeston,BCT,-1.564937663544208,53.773558893285895
450010080,Cross Flatts Drive,Beeston,BCT,-1.562032350402692,53.77571444701896
450010081,Cross Flatts Park Top,Beeston Hill,BCT,-1.560399891457646,53.7765623430093
450010082,Cross Flatts Park Top,Beeston Hill,BCT,-1.559896155729515,53.77684811435568
450010084,Beeston Hill,Beeston Hill,BCT,-1.556551599211048,53.777437999459075
450010085,Malvern Road,Beeston Hill,BCT,-1.552310503953903,53.779561408646614
450010086,Lady Pit Lane,Beeston Hill,BCT,-1.551141030751387,53.78107602204186
450010087,Northcote Green,Beeston Hill,BCT,-1.550111417689434,53.78227656614022
450010088,Northcote Green,Beeston Hill,BCT,-1.550173465183734,53.78215096591236
450010089,Northcote Crescent,Beeston Hill,BCT,-1.546552601143241,53.78157108806705
450010092,Beeston Hill Health Centre,Beeston Hill,BCT,-1.556422251828301,53.778192518875734
450010093,Cemetery Road Junction,Beeston Hill,BCT,-1.559271372125183,53.78144770926602
450010095,Top Moor Side,Holbeck,BCT,-1.559408003048175,53.78434236563499
450010097,Pleasant Street,Holbeck,BCT,-1.561222512452429,53.78644323126196
450010098,Pleasant Street,Holbeck,BCT,-1.562382367689724,53.787292343794356
450010100,Domestic Road,Wortley,BCT,-1.569620464942784,53.78747132032272
450010101,Domestic Road,Wortley,BCT,-1.569224652437335,53.7875867446031
450010102,Gelderd Business Pk,Wortley,BCT,-1.580618810278311,53.78043667004609
450010103,Wheatsheaf Junction,Wortley,BCT,-1.58350805976528,53.77830757708722
450010104,Heath Mount,Beeston,BCT,-1.573603215919577,53.77638529259429
450010105,Leeds Utd Stadium,Beeston,BCT,-1.570954222966079,53.77723870289349
450010106,Leeds Utd Stadium,Beeston,BCT,-1.570285472044849,53.7773441662988
450010107,Cemetery Road Junction,Beeston Hill,BCT,-1.560050388907951,53.78096521306023
450010112,Drysalters,Cottingley,BCT,-1.579094843852743,53.770454584986645
450010113,Drysalters,Cottingley,BCT,-1.577965364935224,53.769614726454854
