date,link_id,hour,speed_kph
2026-04-01,A101,8,12.8
2026-04-02,A101,8,12.0
2026-04-03,A101,8,15.0
2026-04-04,A101,8,16.6
2026-04-05,A101,8,13.5
2026-04-06,A101,8,14.7
2026-04-07,A101,8,14.9
2026-04-08,A101,8,15.4
2026-04-09,A101,8,12.4
2026-04-10,A101,8,13.4
2026-04-01,A101,17,13.7
2026-04-02,A101,17,11.6
2026-04-03,A101,17,10.9
2026-04-04,A101,17,-1.0
2026-04-05,A101,17,12.5
2026-04-06,A101,17,13.9
2026-04-07,A101,17,11.6
2026-04-08,A101,17,14.7
2026-04-09,A101,17,12.4
2026-04-10,A101,17,11.1
2026-04-01,A102,8,21.2
2026-04-02,A102,8,20.8
2026-04-03,A102,8,22.0
2026-04-04,A102,8,-1.0
2026-04-05,A102,8,23.7
2026-04-06,A102,8,23.0
2026-04-07,A102,8,24.9
2026-04-08,A102,8,-1.0
2026-04-09,A102,8,22.0
2026-04-10,A102,8,23.2
2026-04-01,A102,17,18.4
2026-04-02,A102,17,19.8
2026-04-03,A102,17,19.9
2026-04-04,A102,17,-1.0
2026-04-05,A102,17,17.8
2026-04-06,A102,17,20.4
2026-04-07,A102,17,18.6
2026-04-08,A102,17,-1.0
2026-04-09,A102,17,19.9
2026-04-10,A102,17,20.6
2026-04-01,A103,8,-1.0
2026-04-02,A103,8,9.7
2026-04-03,A103,8,9.2
2026-04-04,A103,8,-1.0
2026-04-05,A103,8,9.0
2026-04-06,A103,8,9.3
2026-04-07,A103,8,9.1
2026-04-08,A103,8,-1.0
2026-04-09,A103,8,-1.0
2026-04-10,A103,8,10.5
2026-04-01,A103,17,8.4
2026-04-02,A103,17,9.3
2026-04-03,A103,17,9.4
2026-04-04,A103,17,10.0
2026-04-05,A103,17,7.3
2026-04-06,A103,17,7.1
2026-04-07,A103,17,7.0
2026-04-08,A103,17,7.2
2026-04-09,A103,17,6.3
2026-04-10,A103,17,6.2
2026-04-01,B201,8,34.0
2026-04-02,B201,8,31.9
2026-04-03,B201,8,30.7
2026-04-04,B201,8,30.2
2026-04-05,B201,8,32.0
2026-04-06,B201,8,-1.0
2026-04-07,B201,8,31.4
2026-04-08,B201,8,-1.0
2026-04-09,B201,8,-1.0
2026-04-10,B201,8,30.3
2026-04-01,B201,17,27.6
2026-04-02,B201,17,30.0
2026-04-03,B201,17,25.6
2026-04-04,B201,17,28.3
2026-04-05,B201,17,30.0
2026-04-06,B201,17,28.9
2026-04-07,B201,17,28.1
2026-04-08,B201,17,-1.0
2026-04-09,B201,17,30.5
2026-04-10,B201,17,29.8
